Sample,Trial,Elapsed,Data
0,0,0.0,-0.0027
1,0,0.012916803359985352,-0.0027
2,0,0.023326873779296875,-0.0033
3,0,0.03341412544250488,-0.0027
4,0,0.0435183048248291,0.0062
5,0,0.0539088249206543,-0.0044
6,0,0.06445765495300293,-0.002
7,0,0.07465624809265137,-0.0005
8,0,0.08495354652404785,-0.0109
9,0,0.09504818916320801,0.0035
10,0,0.1052250862121582,0.0023
11,0,0.11538147926330566,-0.0052
12,0,0.12579917907714844,0.0033
13,0,0.13608193397521973,0.0033
14,0,0.14646244049072266,0.0065
15,0,0.1568458080291748,-0.0121
16,0,0.16712307929992676,-0.0032
17,0,0.17722702026367188,0.0026
18,0,0.18743538856506348,-0.0024
19,0,0.19752907752990723,-0.0109
20,0,0.2077469825744629,-0.0109
21,0,0.21807074546813965,-0.002
22,0,0.2281780242919922,0.0015
23,0,0.23852038383483887,-0.0094
24,0,0.24888849258422852,-0.0044
25,0,0.2592589855194092,0.0042
26,0,0.2693650722503662,-0.0071
27,0,0.27991271018981934,-0.0071
28,0,0.29028916358947754,-0.0117
29,0,0.30045390129089355,0.0023
30,0,0.3106513023376465,0.0027
31,0,0.3208332061767578,-0.0082
32,0,0.33137941360473633,-0.0055
33,0,0.3418538570404053,0.0026
34,0,0.3523259162902832,0.0026
35,0,0.36288022994995117,-0.0039
36,0,0.373046875,-0.0059
37,0,0.3834109306335449,-0.0012
38,0,0.3938424587249756,0.0045
39,0,0.40404248237609863,-0.0071
40,0,0.4145941734313965,-0.0062
41,0,0.42478322982788086,0.0027
42,0,0.43518996238708496,0.0027
43,0,0.4457557201385498,0.0023
44,0,0.4560229778289795,-0.0106
45,0,0.4665701389312744,0.003
46,0,0.47708892822265625,0.002
47,0,0.4872736930847168,-0.0036
48,0,0.4978511333465576,-0.0094
49,0,0.5082559585571289,-0.0008
50,0,0.5187211036682129,-0.0008
51,0,0.5290915966033936,0.0015
52,0,0.5395848751068115,-0.0114
53,0,0.5497994422912598,-0.0017
54,0,0.5599420070648193,0.003
